SUBSTÂNCIA,CNPJ,LABORATÓRIO,CÓDIGO GGREM,REGISTRO,EAN 1,EAN 2,EAN 3,PRODUTO,APRESENTAÇÃO,CLASSE TERAPÊUTICA,TIPO DE PRODUTO (STATUS DO PRODUTO),REGIME DE PREÇO,PF Sem Impostos,PF 0%,PF 12%,PF 12% ALC,PF 17%,PF 17% ALC,"PF 17,5%","PF 17,5% ALC",PF 18%,PF 18% ALC,PF 19%,PF 19% ALC,"PF 19,5%","PF 19,5% ALC",PF 20%,PF 20% ALC,"PF 20,5%",PF 21%,PF 21% ALC,PF 22%,PF 22% ALC,PMC Sem Imposto,PMC 0%,PMC 12%,PMC 12% ALC,PMC 17%,PMC 17% ALC,"PMC 17,5%","PMC 17,5% ALC",PMC 18%,PMC 18% ALC,PMC 19%,PMC 19% ALC,"PMC 19,5%","PMC 19,5% ALC",PMC 20%,PMC 20% ALC,"PMC 20,5%",PMC 21%,PMC 21% ALC,PMC 22%,PMC 22% ALC,RESTRIÇÃO HOSPITALAR,CAP,CONFAZ 87,ICMS 0%,ANÁLISE RECURSAL,LISTA DE CONCESSÃO DE CRÉDITO TRIBUTÁRIO (PIS/COFINS),COMERCIALIZAÇÃO 2022,TARJA,DESTINAÇÃO COMERCIAL 
21-ACETATO DE DEXAMETASONA;CLOTRIMAZOL,18.459.628/0001-15,BAYER S.A.,538912020009303,1705600230032,7891106000956,    -     ,    -     ,BAYCUTEN N,"10 MG/G + 0,443 MG/G CREM DERM CT BG AL X 40 G",D7B2 - CORTICOESTERÓIDES ASSOCIADOS A ANTIMICOTICOS,Novo,Regulado,25.79,28.88,33.37,29.30,35.69,31.07,35.94,31.26,36.19,31.45,36.71,31.83,36.97,32.03,37.24,32.23,37.51,37.78,32.64,38.35,33.06,35.65,38.74,44.58,40.51,47.57,42.95,47.89,43.22,48.22,43.48,48.89,44.00,49.22,44.28,49.57,44.56,49.91,50.26,45.12,50.99,45.70,Não,Não,Não,Não,,Negativa,Sim,- (*) ,Sim
ABATACEPTE,56.998.982/0001-07,BRISTOL-MYERS SQUIBB FARMACÊUTICA LTDA,505107701157215,1018003900019,7896016806469,    -     ,    -     ,ORENCIA,250 MG PO LIOF SOL INJ CT 1 FA + SER DESCARTÁVEL,M1C - AGENTES ANTI-REUMÁTICOS ESPECÍFICOS,Biológico,Regulado,2022.18,2022.18,2297.93,2297.93,2436.36,2436.36,2451.13,2451.13,2466.07,2466.07,2496.52,2496.52,2512.02,2512.02,2527.73,2527.73,2543.62,2559.72,2559.72,2592.54,2592.54,,,,,,,,,,,,,,,,,,,,,,Sim,Sim,Não,Não,,Positiva,Sim,Tarja Vermelha,Sim
ABATACEPTE,56.998.982/0001-07,BRISTOL-MYERS SQUIBB FARMACÊUTICA LTDA,505113100020505,1018003900078,7896016808197,    -     ,    -     ,ORENCIA,125 MG/ML SOL INJ SC CT 4 SER PREENC VD TRANS + DISPOSITIVO ULTRASAFE PASSIVE + EXTENSORES DE APOIO,M1C - AGENTES ANTI-REUMÁTICOS ESPECÍFICOS,Biológico,Regulado,6421.57,6421.57,7297.24,7297.24,7736.83,7736.83,7783.72,7783.72,7831.18,7831.18,7927.86,7927.86,7977.11,7977.11,8026.96,8026.96,8077.45,8128.57,8128.57,8232.78,8232.78,8877.44,8877.44,10088.01,10088.01,10695.71,10695.71,10760.54,10760.54,10826.15,10826.15,10959.80,10959.80,11027.89,11027.89,11096.80,11096.80,11166.60,11237.27,11237.27,11381.34,11381.34,Não,Sim,Sim,Não,,Positiva,Sim,- (*) ,Sim
ABEMACICLIBE,43.940.618/0001-44,ELI LILLY DO BRASIL LTDA,507619060021902,1126001990018,7896382708442,    -     ,    -     ,VERZENIOS,50 MG COM REV CT BL AL AL X 30,L1H - INIBIDORES DE PROTEINA QUINASE,Novo,Regulado,2715.29,3041.13,3514.29,3085.56,3758.01,3271.44,3784.26,3291.27,3810.87,3311.33,3865.25,3352.21,3893.03,3373.04,3921.21,3394.12,3949.80,3978.81,3437.08,4038.13,3481.15,3753.73,4079.57,4694.33,4265.61,5009.14,4522.57,5042.98,4549.99,5077.25,4577.72,5147.27,4634.23,5183.02,4663.03,5219.26,4692.17,5256.01,5293.29,4751.56,5369.46,4812.49,Não,Não,Não,Não,,Negativa,Sim,Tarja Vermelha,Não
ABEMACICLIBE,43.940.618/0001-44,ELI LILLY DO BRASIL LTDA,507619060022102,1126001990034,7896382708466,    -     ,    -     ,VERZENIOS,100 MG COM REV CT BL AL AL X 30,L1H - INIBIDORES DE PROTEINA QUINASE,Novo,Regulado,5430.56,6082.23,7028.55,6171.09,7515.98,6542.84,7568.48,6582.50,7621.71,6622.64,7730.47,6704.39,7786.01,6746.04,7842.37,6788.20,7899.55,7957.58,6874.13,8076.22,6962.26,7507.43,8159.09,9388.62,8531.17,10018.23,9045.09,10085.90,9099.92,10154.47,9155.41,10294.50,9268.43,10365.96,9326.00,10438.46,9384.29,10511.96,10586.52,9503.08,10738.87,9624.92,Não,Não,Não,Não,,Negativa,Sim,Tarja Vermelha,Não
ABEMACICLIBE,43.940.618/0001-44,ELI LILLY DO BRASIL LTDA,507619060022302,1126001990050,7896382708480,    -     ,    -     ,VERZENIOS,150 MG COM REV CT BL AL AL X 30,L1H - INIBIDORES DE PROTEINA QUINASE,Novo,Regulado,7797.84,8733.58,10092.42,8861.18,10792.33,9394.98,10867.71,9451.93,10944.15,9509.56,11100.31,9626.96,11180.07,9686.75,11261.00,9747.30,11343.10,11426.42,9870.68,11596.79,9997.22,10780.05,11715.79,13481.29,12250.06,14385.36,12988.01,14482.52,13066.74,14580.98,13146.41,14782.04,13308.71,14884.67,13391.36,14988.77,13475.07,15094.31,15201.36,13645.64,15420.14,13820.57,Não,Não,Não,Não,,Negativa,Sim,Tarja Vermelha,Não
ABEMACICLIBE,43.940.618/0001-44,ELI LILLY DO BRASIL LTDA,507619060022402,1126001990069,7896382708497,    -     ,    -     ,VERZENIOS,150 MG COM REV CT BL AL AL X 60,L1H - INIBIDORES DE PROTEINA QUINASE,Novo,Regulado,15595.67,17467.15,20184.83,17722.35,21584.65,18789.95,21735.41,18903.84,21888.28,19019.11,22200.61,19253.90,22360.14,19373.50,22521.99,19494.58,22686.19,22852.83,19741.36,23193.56,19994.44,21560.09,23431.56,26962.57,24500.11,28770.71,25976.00,28965.02,26133.45,29161.94,26292.80,29564.08,26617.39,29769.34,26782.73,29977.52,26950.11,30188.60,30402.70,27291.27,30840.24,27641.14,Não,Não,Não,Não,,Negativa,Sim,Tarja Vermelha,Não
ABEMACICLIBE,43.940.618/0001-44,ELI LILLY DO BRASIL LTDA,507619060022502,1126001990077,7896382708503,    -     ,    -     ,VERZENIOS,200 MG COM REV CT BL AL AL X 30,L1H - INIBIDORES DE PROTEINA QUINASE,Novo,Regulado,9738.14,10906.72,12603.67,11066.07,13477.74,11732.70,13571.88,11803.81,13667.33,11875.78,13862.35,12022.39,13961.96,12097.07,14063.03,12172.67,14165.56,14269.61,12326.76,14482.37,12484.79,13462.41,14630.98,16835.78,15298.19,17964.81,16219.77,18086.15,16318.07,18209.10,16417.57,18460.19,16620.25,18588.36,16723.49,18718.36,16828.00,18850.17,18983.85,17041.02,19257.06,17259.49,Não,Não,Não,Não,,Negativa,Sim,Tarja Vermelha,Não
ABEMACICLIBE,43.940.618/0001-44,ELI LILLY DO BRASIL LTDA,507619060022602,1126001990085,7896382708510,    -     ,    -     ,VERZENIOS,200 MG COM REV CT BL AL AL X 60,L1H - INIBIDORES DE PROTEINA QUINASE,Novo,Regulado,19476.26,21813.42,25207.33,22132.11,26955.45,23465.37,27143.73,23607.60,27334.64,23751.54,27724.68,24044.76,27923.90,24194.11,28126.03,24345.33,28331.10,28539.20,24653.51,28964.71,24969.56,26924.79,29261.93,33671.55,30596.34,35929.58,32439.50,36172.25,32636.12,36418.17,32835.11,36920.36,33240.47,37176.70,33446.94,37436.68,33655.99,37700.30,37967.67,34082.03,38514.08,34518.95,Não,Não,Não,Não,,Negativa,Sim,Tarja Vermelha,Não
ABROCITINIBE,61.072.393/0001-33,PFIZER BRASIL LTDA,522723100092502,1211004910013,7891045164542,    -     ,    -     ,CIBINQO,50 MG COM REV CT FR PLAS PEAD OPC X 30,D5X - OUTROS PRODUTOS ANTI-INFLAMATÓRIOS NÃO ESTEROIDAIS DERMATOLÓGICOS,Novo,Regulado,2134.77,2390.94,2762.94,2425.87,2954.55,2572.01,2975.19,2587.60,2996.11,2603.38,3038.87,2635.51,3060.70,2651.88,3082.86,2668.46,3105.33,3128.14,2702.24,3174.78,2736.88,2951.19,3207.36,3690.69,3353.62,3938.19,3555.65,3964.79,3577.21,3991.74,3599.02,4046.80,3643.44,4074.89,3666.07,4103.39,3688.99,4132.27,4161.58,3735.69,4221.47,3783.58,Não,Não,Não,Não,,Negativa,Sim,Tarja Vermelha,Sim
